timestamp,closest distances to obstacles
1715246487.6650987,0.5338661522523926
1715246489.6330216,0.4889036610100345
1715246491.570768,0.5644460609967782
1715246493.5057735,0.6681457629283821
1715246495.4355466,0.753985527332427
1715246497.3677075,0.6902047724023432
1715246499.3208525,0.7127669974705657
1715246501.2874153,0.6957789857428943
1715246503.2457788,0.5707568891326961
1715246505.1842818,0.5594774212530831
1715246507.1067457,0.841306376208123
1715246508.9947574,1.026273197568841
1715246510.8529968,1.1935700838829697
1715246512.7362783,1.154932329189408
1715246514.621265,1.2252711778947007
1715246516.50495,1.2593893362117654
1715246518.4004421,1.3089827471587323
1715246520.328931,1.3248203047982656
1715246522.2980628,1.3324343107833454
1715246524.2608163,1.2790810436542661
